name,address,latitude,longitude,hours,website,phone,nearestSpot,nearestSpotCounty
Teach Ruairi,,55.098651,-8.134351,Check local listings,,,Gort a' Choirce,Donegal
The Huntsman,,51.925192,-8.60857,Check local listings,,,Tower,
Magan's Pub,,53.681552,-7.88008,Check local listings,,,Killashee,
Chestnut Tree,,53.681184,-7.879335,Check local listings,,,Killashee,
The Slipper,"125, Ballymun Road, Dublin",53.385324,-6.265609,"Mo-Sa 11:30-23:30, Su 12:30-23:00",,,Glasnevin,Dublin
Nubar,,53.38507,-6.258921,Mo-Fr 08:00-24:00,,,Glasnevin,Dublin
The Comet,"243, Swords Road, Dublin",53.388452,-6.246031,Check local listings,,,Whitehall,Dublin
Lawless’s,"Main Street, Dunshaughlin",53.511685,-6.539653,Check local listings,,,Dunshaughlin,
The Climber's Inn,,51.994625,-9.85779,Check local listings,,,Glencar,Kerry
Rory O'Connor's,,53.315934,-6.317308,Check local listings,,,Crumlin,
The Submarine,,53.316173,-6.317386,Check local listings,,,Crumlin,
Tarbh 47,"47, Garden Street, Ballina",54.114516,-9.156712,Check local listings,https://www.tarbh47.ie,,Ballina,
The Broken Jug,"O'Rahilly Street, Ballina",54.112845,-9.15602,Check local listings,,,Ballina,
The Lake House,,51.818309,-9.740088,Check local listings,,,Tuosist,Kerry
The Village Inn,Ardgroom,51.733771,-9.896689,Check local listings,,+3532774067,Ardgroom,
Maynooth Students’ Union Bar,Maynooth,53.382941,-6.603748,Check local listings,,,Maynooth,Kildare
The Ardmore,"Main Street, Bray",53.201163,-6.110785,Check local listings,,,Bray,
Barcode,,53.362979,-6.228708,Check local listings,,,Fairview,Dublin
O’Kane’s,"Market Square, Muine Bheag",52.702005,-6.956749,Check local listings,,,Muine Bheag,Carlow
Ballinkillen Community Centre Members' Lounge,,52.65007,-6.929928,Check local listings,,,Ballymartin,
The Railway House,"Kilree Street, Muine Bheag",52.700628,-6.957286,Check local listings,,,Muine Bheag,Carlow
The White House,"52, O'Connell Street, Limerick",52.660984,-8.629452,Mo-Su 12:00-01:00,https://thewhitehousebar.ie/,,Limerick,
Brewery Bar,,53.340486,-6.286878,Check local listings,,,The Liberties,Dublin
EpiCenter,EastPoint Business Park,53.357281,-6.226927,Check local listings,,,East Wall,
Pebble Beach,"18, Conquer Hill Road, Clontarf",53.359487,-6.18968,Check local listings,https://pebblebeachclontarf.ie/,+35318332762,Clontarf,Dublin
Kyle’s,"Main Street, Coolock",53.388856,-6.200861,Check local listings,,+353 1 848 1972,Coolock,Dublin
Mount Oval Bar,The Square,51.870171,-8.406998,Check local listings,,,Garryduff,
The Pike,"Barrack Street, Wexford",52.333871,-6.458227,Check local listings,,,Wexford,Wexford
Stick's Bar,Ballina Street,54.100082,-9.318634,Check local listings,,,Crossmolina,
Dusk Nightclub,"Oscar Traynor Road, Dublin",53.396458,-6.214925,Check local listings,,,Coolock,Dublin
Ardlea Inn,"Ardlea Road, Dublin",53.386653,-6.211595,Check local listings,,,Artane,Dublin
The Roundabout,"2, Ardcollum Avenue, Artane",53.383917,-6.206845,Check local listings,,,Artane,Dublin
The Goblet,"Malahide Road, Artane",53.380313,-6.210093,Check local listings,,,Artane,Dublin
The Dingle Pub,"An tSráid Mhór, Dingle",52.141358,-10.267615,Check local listings,http://www.thedinglepub.com/,+353 66 915 1370,Dingle / Daingean Uí Chúis,Kerry
Barr na Sraide Inn,"Sráid na nGabhar, Dingle",52.142851,-10.270562,Check local listings,,,Dingle / Daingean Uí Chúis,Kerry
House of McDonnell,"71, Castle Street, Ballycastle",55.200456,-6.250973,Check local listings,,,Ballycastle,
Hickie’s Bar,"O'Connell Street, Kilkee",52.679781,-9.646634,Check local listings,,,Kilkee,Clare
Figgerty's,"40, Summerhill, Nenagh",52.866253,-8.195836,Check local listings,,,Nenagh,Tipperary
Powell Bros.,"42, Summerhill, Nenagh",52.866295,-8.195805,Check local listings,,,Nenagh,Tipperary
Rohan,"12, Sarsfield Street, Nenagh",52.86333,-8.203777,Check local listings,,,Nenagh,Tipperary
Silvermine,"Silver Street, Nenagh",52.862461,-8.200429,Check local listings,,,Nenagh,Tipperary
Byrne's,,53.105844,-6.064307,Check local listings,,,Kilcoole,
Lee's of Kilcoole,,53.109514,-6.064955,Check local listings,,,Kilcoole,
The Mollys,,53.107697,-6.064814,Check local listings,,,Kilcoole,
Tig Rosie,,51.834031,-10.262719,Check local listings,,,Baile an Sceilg,
Cable O´Leary,,51.825305,-10.272095,Check local listings,,,Baile an Sceilg,
Durkin’s Bar,"Barrack Street, Ballaghaderreen",53.901634,-8.578487,Check local listings,,,Ballaghaderreen,
Lir Bar,,53.903147,-8.582372,Check local listings,,,Ballaghaderreen,
McGrory’s,"Main Street, Culdaff",55.286401,-7.165798,Check local listings,,,Culdaff,
The Crane Bar,"2, Sea Road, Galway",53.269854,-9.060451,Check local listings,http://www.thecranebar.com/,+35391587419,Claddagh,Galway
K Sixty Seven,,53.462353,-6.21794,Check local listings,,,Swords,Dublin
K67,"North Street, Swords",53.462606,-6.217879,Check local listings,,,Swords,Dublin
Peacocks Steakhouse,"Rathingle Road, Swords",53.452789,-6.243333,"Mo-We 12:00-23:00, Th 12:00-11:30, Fr 12:00-00:30, Sa 10:30-12:30, Su 10:30-23:00",https://www.peacocksbar.ie/,,Swords,Dublin
