name,name_ga,county,lat,lon,type
Gort,Gort Inse Guaire,Galway,53.0669917,-8.8195236,town
Clonegal,Cluain na nGall,,52.695444,-6.6483943,village
Ballinameen,,,53.897051,-8.3022343,village
Arles,,,52.8923041,-7.0195019,village
Scotshouse,Teach an Scotaigh,,54.1225169,-7.2486101,village
Killurin,Cill Iúirín,,53.2148347,-7.5533468,hamlet
Ballinagar,Béal Átha na gCarr,,53.2660341,-7.3379011,village
Ballineanig,Baile an Éanaigh,Kerry,52.1629541,-10.3917978,hamlet
Ardrahan,Ard Raithin,,53.15675,-8.8059911,village
Abbeyleix,Mainistir Laoise,Laois,52.9144763,-7.3482153,town
Hugginstown,,Kilkenny,52.4516236,-7.2516823,village
Killanena,,Clare,52.986111,-8.701667,hamlet
Pettigo,Paiteagó,Donegal,54.5494414,-7.8321522,village
Williamstown,Baile Liam,,53.6779163,-8.5786917,village
Ballyroan,Baile Átha an Róine,,52.9480957,-7.3051573,village
Glaslough,Glasloch,,54.3172593,-6.8950858,village
Strandhill,An Leathros,,54.2699517,-8.5942985,village
Ballymahon,Baile Uí Mhatháin,,53.5617282,-7.7617266,town
Tallanstown,,Louth,53.9195878,-6.547758,village
Rathvilly,Ráth Bhile,,52.8807968,-6.6944791,village
Castlemaine,Caisleán na Mainge,Kerry,52.1685671,-9.7011826,town
Glynn,An Gleann,Wexford,52.3729473,-6.5832293,village
Manulla,,,53.8367877,-9.1798204,village
Donard,Dún Ard,,53.0223442,-6.6130514,village
Port an Chlóidh,Port an Chlóidh,,54.3306592,-9.7878908,hamlet
Cooraclare,Cuar an Chláir,Clare,52.7008367,-9.4208264,village
Crossakeel,Crosa Caoil,,53.7142143,-7.0218205,village
Carrickboy,,,53.6324953,-7.6858935,hamlet
Doonbeg,,,52.7309073,-9.5297119,village
Scartaglen,Scairteach an Ghlinne,,52.1804121,-9.4070006,village
Drumlea,,,54.0173966,-7.7274962,hamlet
Ballaghaderreen,Bealach an Doirín,,53.9013669,-8.5788648,town
Leitrim,Liatroim,,53.9905176,-8.065392,village
Ballinamuck,,,53.866667,-7.716667,village
Mullingar,An Muileann gCearr,,53.525822,-7.341304,town
Stamullen,,,53.6285486,-6.2622712,village
Duncannon,Dún Canann,,52.2211436,-6.9335442,village
Bawnboy,An Bábhún Bui,,54.1212699,-7.6757074,village
Bruff,An Brú,Limerick,52.4755288,-8.5474944,village
Terenure,Tír an Iúir,,53.3098292,-6.2832703,suburb
Mullagh,Mullach,Clare,52.8004132,-9.4148971,village
An Caorán Mór,An Caorán Mór,,53.2563562,-9.5850082,hamlet
Inchigeelagh,Inse Geimhleach,,51.8420889,-9.1269796,village
Killea,Cill Shléibhe,,52.8249081,-7.8717547,hamlet
Timahoe,Tigh Mochua,Laois,52.9611523,-7.2017883,village
Mount Merrion,Cnoc Mhuirfean,Dublin,53.2932235,-6.211713,suburb
Kilberry,Cill Bhearaigh,,53.0449153,-7.0197487,village
Duncormick,Dun Cormaic,,52.2295313,-6.6531555,village
Newport,An Port Nua,,52.710714,-8.4061436,village
Tullaroan,Tullach Ruain,Kilkenny,52.6621702,-7.4382848,village
Twomileborris,,,52.671667,-7.72,village
Ballydehob,Béal an dá Chab,Cork,51.5621926,-9.4607391,village
Baltinglass,Bealach Conglais,Wicklow,52.9401946,-6.7083978,town
Dernagree,,,52.1208041,-9.0321957,hamlet
Clogher,,,53.7599917,-9.2258163,village
Carnaross,,Meath,53.7513547,-6.9564381,village
Virginia,Achadh an Iúir,Cavan,53.8350708,-7.0831588,town
Bréanainn,Bréanainn,,52.2673916,-10.1621784,village
Waterville,An Coireán,Kerry,51.8271274,-10.1718452,village
Brosna,An Bhrosnach,,52.9913787,-7.8881852,hamlet
Glounthaune,An Gleanntán,Cork,51.9116039,-8.3359594,village
Tullamore,Tulach Mhór,,53.2743768,-7.4927486,town
Drumsna,Droim ar Snámh,,53.9270301,-8.0077686,village
Durrow,Darú,,52.8456582,-7.3957085,town
Cleggan,An Cloigeann,Galway,53.5564592,-10.11069,village
Correllstown,Baile Mhic Cearúill,,53.4823512,-7.1729558,hamlet
Corrofin,,,53.437638,-8.8613614,hamlet
Drommartin,,Kerry,52.4289057,-9.6952323,hamlet
Kildorrery,Cill Dairbhre,,52.246173,-8.4271099,village
Lisgoold,Lios Gúl,Cork,51.9735796,-8.2176018,village
Cliffoney,Cliafuine,,54.4302562,-8.4538229,village
Kilnamona,,Clare,52.867778,-9.080556,hamlet
Ballintemple,Baile an Teampaill,Cork,51.8947981,-8.4354471,suburb
Courtmacsherry,Cúirt Mhic Shéafraidh,,51.6333396,-8.7000873,village
Spink,An Spinc,,52.9018767,-7.2219805,hamlet
Easky,Iascaigh,,54.2853714,-8.9599351,village
Ballyheigue,Baile Uí Thaidhg,,52.3892873,-9.8352402,village
Killeagh,Cill Ia,Cork,51.9414959,-7.9936609,village
Crosskeys,Carraig an Tobair,,53.9190466,-7.2651761,village
Mount Talbot,,,53.5303013,-8.2825268,hamlet
Waterville,,Limerick,52.5342402,-9.026712,hamlet
Mountrath,Maighean Rátha,Laois,53.0012446,-7.4742852,town
Castledermot,Díseart Diarmada,Kildare,52.9119491,-6.8368376,town
Goresbridge,An Droichead Nua,,52.6301898,-6.9934713,village
Scramoge,,,53.7675294,-8.0503433,village
Pallasgreen,Pailís Ghréine,Limerick,52.5679529,-8.3379697,village
Ballyfad,,Wexford,52.7674865,-6.2687845,village
An Caorán Beag,An Caorán Beag,Galway,53.2461729,-9.5872306,hamlet
Rathowen,Ráth Eoghain,,53.6554046,-7.5197224,village
Ballymun,Baile Munna,Dublin,53.3948616,-6.2651936,suburb
